티커,종가,시가총액,거래량,거래대금,상장주식수,date
033310,4815,194247842265,128086,610303675,40342231,20230131
068930,6740,194201230860,8916,60357930,28813239,20230131
082800,828,193787671068,1761697,1486509277,234043081,20230131
174900,12610,193160850090,36085,454703860,15318069,20230131
146320,15600,192939598800,153302,2443082400,12367923,20230131
067990,6040,192616487880,105268,637080790,31890147,20230131
073640,2215,192453209875,1013086,2244528605,86886325,20230131
417860,49500,192048862500,3417587,176696998550,3879775,20230131
337930,6530,191110826170,438707,2858893760,29266589,20230131
042370,7290,190998182250,110957,809883880,26200025,20230131
045970,7250,190782851000,3887374,28400109690,26314876,20230131
005860,4825,190122780125,2105040,10263128345,39403685,20230131
054920,6720,189618784320,4444065,30161674210,28217081,20230131
124560,4935,189585842040,181053,892379715,38416584,20230131
035810,2910,189574408950,76591,222335225,65145845,20230131
036620,2115,189490415355,209400,441567060,89593577,20230131
348150,10850,189263548250,22860,246179220,17443645,20230131
099750,29400,187748400000,1115595,33642942300,6386000,20230131
310200,4505,187616414815,1361976,6058549310,41646263,20230131
138580,8310,187441714530,21735,180968420,22556163,20230131
214180,14100,186926308500,22326,313114010,13257185,20230131
391710,4625,185986151750,3788281,18308592425,40213222,20230131
054780,9510,185899511430,124544,1179480370,19547793,20230131
171090,20050,185887981050,168614,3412311650,9271221,20230131
119830,9210,184879292760,215472,2003295090,20073756,20230131
204620,3355,184114079600,466593,1562004430,54877520,20230131
138610,18420,183416763180,20351,373286010,9957479,20230131
136540,13220,183284221640,22074,293389430,13864162,20230131
377450,10560,183004800000,1306145,13806653520,17330000,20230131
066980,4020,182791667280,279923,1106414380,45470564,20230131
049080,2145,182074779315,14184688,29548293611,84883347,20230131
214260,21050,181396606800,40239,837498250,8617416,20230131
340930,16820,180973848080,70349,1191666850,10759444,20230131
900290,2665,179554375000,21940,58184715,67375000,20230131
277880,9630,179535479760,77519,744867180,18643352,20230131
023900,14210,179046000000,324930,4582519640,12600000,20230131
036560,11360,178920000000,144138,1649142670,15750000,20230131
276040,14470,178861123280,310272,4442530240,12360824,20230131
006620,6280,178760149760,37161,232493750,28464992,20230131
314930,28900,178260835500,14562,418664650,6168195,20230131
092070,15400,178206613200,52892,808651810,11571858,20230131
205100,4895,178091226335,1251780,6073710150,36382273,20230131
033100,11060,177650243540,231909,2520246790,16062409,20230131
090850,7480,177622780280,33989,253552830,23746361,20230131
109610,3625,177289325000,994325,3620144985,48907400,20230131
396270,10030,176704929200,2492198,24903375910,17617640,20230131
306040,17850,176105029800,13688,245694300,9865828,20230131
356860,17910,176102403300,119075,2126263580,9832630,20230131
311690,29950,176066226400,6047,180534850,5878672,20230131
054450,12650,175277274150,93315,1177606430,13855911,20230131
